% Model:              heat_case1.mph
% Version:            COMSOL 6.0.0.354
% Date:               May 11 2023, 12:09
% Dimension:          2
% Nodes:              983
% Expressions:        51
% Description:        因变量 u
% Length unit:        m
% X                       Y                        u (1) @ t=0              u (1) @ t=0.1            u (1) @ t=0.2            u (1) @ t=0.3            u (1) @ t=0.4            u (1) @ t=0.5            u (1) @ t=0.6            u (1) @ t=0.7            u (1) @ t=0.8            u (1) @ t=0.9            u (1) @ t=1              u (1) @ t=1.1            u (1) @ t=1.2            u (1) @ t=1.3            u (1) @ t=1.4            u (1) @ t=1.5            u (1) @ t=1.6            u (1) @ t=1.7            u (1) @ t=1.8            u (1) @ t=1.9            u (1) @ t=2              u (1) @ t=2.1            u (1) @ t=2.2            u (1) @ t=2.3            u (1) @ t=2.4            u (1) @ t=2.5            u (1) @ t=2.6            u (1) @ t=2.7            u (1) @ t=2.8            u (1) @ t=2.9            u (1) @ t=3              u (1) @ t=3.1            u (1) @ t=3.2            u (1) @ t=3.3            u (1) @ t=3.4            u (1) @ t=3.5            u (1) @ t=3.6            u (1) @ t=3.7            u (1) @ t=3.8            u (1) @ t=3.9            u (1) @ t=4              u (1) @ t=4.1            u (1) @ t=4.2            u (1) @ t=4.3            u (1) @ t=4.4            u (1) @ t=4.5            u (1) @ t=4.6            u (1) @ t=4.7            u (1) @ t=4.8            u (1) @ t=4.9            u (1) @ t=5
0                         0.03703703703703703      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.024181804236916946      0.025101562535193245     0                        0.003244507623168364     0.006227636974560899     0.008607566915608688     0.010142690996259196     0.01068840726461327      0.010186642931853139     0.008683334361513683     0.0063333385786230505    0.0033636344047951678    6.056827123228471E-5     -0.0032425669150144684   -0.006231328475760334    -0.008608882380192074    -0.010145593472887566    -0.010689695680643435    -0.010186150917079383    -0.008685738441020878    -0.006336977789767601    -0.0033699428210786516   -6.874765512049363E-5    0.0032411829669826467    0.006226560226064436     0.0086070316568461       0.010149619190603452     0.010693583509539525     0.010183118277865708     0.008654637820385733     0.0062846433146831445    0.0033253288667615894    4.715582437385471E-5     -0.0032435947337020586   -0.006231104420836442    -0.008622172343862181    -0.010153597482336322    -0.0106872359478291      -0.010161448470425606    -0.00864394650696119     -0.006294558837795878    -0.0033419193565474973   -4.6849488492120985E-5   0.0032468437126539976    0.0062274851534078616    0.008607725596695582     0.010150823458055992     0.010689719243148429     0.010186914808030016     0.008686271604284267     0.006331848384998802     0.003364098727967972     6.165873914000094E-5
0.03703703703703565       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.07407407407407406      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.027571414027287727      0.0557840602401582       0                        0.007346435243389568     0.014100261657207055     0.019489274434949192     0.022965459623876302     0.02420141024690822      0.02306558970142475      0.01966198181710094      0.01434119540931073      0.007617104118940844     1.3808376412103595E-4    -0.007341141109529693    -0.014108666799121221    -0.01949228507106138     -0.022972067738484772    -0.024204376875469516    -0.023064512921571117    -0.019667426078007866    -0.01434942405373822     -0.007631449934944493    -1.5665421791027123E-4   0.007338050495022856     0.014097820457034211     0.019488050267928977     0.02298119156207144      0.02421315608527747      0.02305760639163439      0.019596992670817503     0.014230945768888397     0.00753045385009848      1.0784146163092782E-4    -0.007343436975221772    -0.014108157493061513    -0.019522378433634125    -0.022990161912292677    -0.024198785651042328    -0.02300858326821398     -0.019572836259888274    -0.014253418287370935    -0.007568009685167476    -1.0710132488489369E-4   0.007350798294173409     0.014099934885380706     0.01948966051281939      0.02298394402254778      0.024204394647932517     0.02306625076554214      0.01966864655390932      0.014337795791843877     0.007618178184547786     1.4061618538132955E-4
0.07407407407407274       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.05630057012026135       0.032686715398770994     0                        0.009606926515923262     0.01843973454150064      0.025486706937703888     0.03003223583664668      0.031648159046020724     0.030162514222159233     0.025711311782354338     0.018753073734963988     0.009959864702144383     1.7955319704106252E-4    -0.009600973626651422    -0.018450675041762902    -0.025490609529267214    -0.030040838268762086    -0.03165198517229655     -0.030161065775088456    -0.025718430463216375    -0.018763847158461744    -0.009978558453149837    -2.0378362381978746E-4   0.009596885562207827     0.018436545180357384     0.025485119281502096     0.030052760356907966     0.03166349150888426      0.030152077062759713     0.02562633899752407      0.018608890267393836     0.009846461745554291     1.3986778820015522E-4    -0.009604009891746092    -0.01845001109967916     -0.025529961229405877    -0.03006453148131171     -0.03164469700854894     -0.03008792300318136     -0.02559469384764656     -0.018638254563262107    -0.009895583672167307    -1.3895037257875308E-4   0.009613631130381195     0.01843928836049277      0.02548718313356613      0.030056331869852123     0.031652046883376035     0.030163329565552698     0.025720012003506376     0.018748655376442856     0.009961244607680575     1.827963815860627E-4
0.11111111111110983       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.09448062385976723       0.029523786283327608     0                        0.014543911315405436     0.02791603062900699      0.03858446306371513      0.0454659530168604       0.047912295551469135     0.04566315902297283      0.03892445122498241      0.028390331500020103     0.015078248870424402     2.717930703687648E-4     -0.014534991627892341    -0.027932586624352444    -0.038590369781861394    -0.04547897357629394     -0.0479180827727162      -0.04566096166170149     -0.03893522777239972     -0.028406642864262987    -0.015106541630045824    -3.084680427697305E-4    0.014528796963051233     0.02791120132284784      0.038582062698646606     0.045497021622435525     0.04793550555666339      0.04564735952602991      0.03879581390646358      0.02817205296278098      0.01490655888166499      2.11697187992326E-4      -0.014539591997642909    -0.027931581360011507    -0.03864994438586298     -0.04551484737332368     -0.04790705302237725     -0.04555023217888726     -0.03874790021812818     -0.02821650460059991     -0.014980925399774704    -2.1031480689003037E-4   0.014554156867842649     0.027915352489470035     0.038585183690665464     0.04550242492993765      0.04791818074962268      0.045664387958816936     0.038937620104108756     0.02838364483628515      0.015080334377966067     2.766943785716906E-4
0                         0.11111111111111108      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.028777393874653962      0.09227850879235217      0                        0.009715704399555011     0.018645183425361023     0.02577339063017053      0.030371943220234333     0.032007849130404366     0.030506961420725367     0.026006681836471368     0.018970588121560713     0.010078051574978533     1.8662507059568118E-4    -0.009705301602655945    -0.018656477311191272    -0.025777500264859744    -0.030380826079611834    -0.03201196264477508     -0.030505677368799614    -0.02601388124700343     -0.018981422099829295    -0.010097248391471384    -2.113665254475729E-4    0.009701371692595884     0.018641943129622585     0.025771731613951788     0.03039292480642113      0.032023486452431        0.030496400970924986     0.02592069378107804      0.01882482543882105      0.009963774194094608     1.4710489799863564E-4    -0.009708220680018928    -0.01865579491660258     -0.02581730353117297     -0.030404651723530882    -0.032004493520073125    -0.0304317332086694      -0.025888942552399537    -0.018854624264979674    -0.010013404722220051    -1.4595353817881368E-4   0.00971797261773052      0.01864482082930972      0.025774011935784606     0.0303966605340244       0.03201185288456995      0.030508006958777815     0.026015545479078975     0.018965992636360864     0.010079553582553975     1.9020748023064425E-4
0.14814814814814692       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.1304882367228828        0.029839591618544454     0                        0.02000684709514224      0.03840198270500892      0.053077919389672545     0.06254443737264427      0.06590982322441809      0.06281594476982993      0.053546044100409175     0.03905501922426751      0.020742502943131614     3.742420681786098E-4     -0.019994507901584097    -0.03842475737276282     -0.05308605367622038     -0.06256235592542188     -0.06591778872972039     -0.06281292301338927     -0.05356086679749374     -0.039077454688564744    -0.020781418660450048    -4.2468770390730824E-4   0.019985984952882365     0.03839533700264595      0.053074624335514596     0.0625871836583944       0.06594175750842769      0.06279421578516355      0.05336909386687403      0.03875475773166417      0.020506327529311388     2.9157401804374446E-4    -0.020000835179803958    -0.03842337355673527     -0.0531680062659007      -0.06261170806636845     -0.06590262031995858     -0.06266060856871757     -0.05330318487952857     -0.038815906420014416    -0.020608626698603236    -2.896735715645527E-4    0.020020870529465665     0.038401051198390455     0.053078921295872654     0.06259461595980566      0.06591792378777829      0.06281763645693027      0.05356415765774158      0.03904581857985373      0.02074536990431788      3.809822961505162E-4
0                         0.14814814814814808      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.02947336549409348       0.1292502083880742       0                        0.008547680617163414     0.01639956592662981      0.022675225531774087     0.026725206881111154     0.028168447461248986     0.02685120744247067      0.022894054788950208     0.016704611291288345     0.00888013363531582      1.7537256134330845E-4    -0.008530555873526184    -0.01640992641147025     -0.022679168563300628    -0.026733386187669222    -0.028172526660526272    -0.026850402211819658    -0.022900372975898035    -0.016714009517707667    -0.008897509933303118    -1.9753510075647802E-4   0.008527446880922355     0.016396687873332497     0.02267369700301769      0.026744107104205245     0.028182475870243823     0.026841939352658772     0.022818342210283452     0.016576501940716134     0.008780346010254987     1.4169787389586378E-4    -0.008532854910818595    -0.01640930017985398     -0.022714196160370625    -0.02675412695804617     -0.028165810015694844    -0.0267854438462652      -0.022790869598375976    -0.01660289903864234     -0.008823917125929432    -1.4029381835854463E-4   0.008541467654623951     0.016399430749085193     0.022676069541693423     0.026747611757034478     0.028172123002550092     0.026852526119839848     0.02290195481222759      0.016700322289373987     0.008881629172751917     1.7904666771969936E-4
0.185185185185184         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.16713789539790466       0.03003866426687968      0                        0.02531878923505022      0.048598674295584565     0.0671718511523078       0.07915236126005563      0.083411655841301        0.07949648049214895      0.06776526127347447      0.049426434545636576     0.02625128819933566      4.7443725334781655E-4    -0.02530312325535597     -0.04862749282382501     -0.06718216294307566     -0.07917505129671971     -0.0834217417800912      -0.07949265446859038     -0.06778401454562637     -0.04945481848840358     -0.02630051244395593     -5.382559277939793E-4    0.02529232777517101      0.048590260733107016     0.06716770154016899      0.07920647066427734      0.08345208235275846      0.07946899704852257      0.06754134581372985      0.0490464655908873       0.025952406423403424     3.6980723981516967E-4    -0.025311131446463294    -0.048625739847300585    -0.06728587598151309     -0.079237519431664       -0.08340256030744074     -0.07929991739212937     -0.06745793610138577     -0.04912384882135697     -0.0260818666920944      -3.674102286356669E-4    0.02533648493973495      0.0485974998284433       0.06717314189148373      0.07921587217355662      0.08342191817699342      0.07949861819641514      0.06778817819740969      0.04941478953251977      0.026254909107215074     4.829533371467726E-4
0                         0.1851851851851851       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.029622805825704514      0.1662798464742568       0                        0.003983789137709779     0.007639247162444144     0.01057750056581423      0.012477353198757868     0.013160582434707318     0.012554199662175395     0.010713629932987934     0.007828432277094571     0.004176294823051739     1.0992062361482912E-4    -0.003959019660840015    -0.007644987291703009    -0.010580098960006721    -0.01248200445223094     -0.013163490003335636    -0.012554497831503348    -0.010716504975861803    -0.007832480242641597    -0.004185316870687004    -1.2100098320203419E-4   0.003958250733731812     0.007637849346777967     0.010576709206051705     0.012487164208521674     0.013167765680587277     0.012550002738579145     0.010678292131948914     0.007769072026333034     0.004131382785122297     9.647725656048436E-5     -0.003959538977330829    -0.007644627796778975    -0.010596440985335206    -0.012491267284006359    -0.01316013037824097     -0.01252453412314102     -0.010666465887885267    -0.007781745339179293    -0.004151480923625348    -9.50340434315681E-5     0.003963608639031393     0.007639625027237328     0.010578618754622        0.012489240963980549     0.013162669629913248     0.012555646631450203     0.010717490367255418     0.00782588327112789      0.004177314394180781     1.1266895340995148E-4
0.2222222222222211        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.20398951459740608       0.030063157308871383     0                        0.03023686469448388      0.058040300587123624     0.08022258074932904      0.09453135674766024      0.0996187115669343       0.09494328224140262      0.0809330837135173       0.05903130393452427      0.03135338996239496      5.681226728715938E-4     -0.03021816372351265     -0.05807470907636205     -0.08023492561519742     -0.09455847734161489     -0.09963076231394706     -0.0949387055439549      -0.08095546973582073     -0.05906518412926031     -0.031412118738075236    -6.442917418657956E-4    0.030205247804620906     0.05803024871362634      0.08021766647828778      0.09459599780698331      0.09966701471086677      0.0949104901408186       0.08066570663374012      0.05857755253142433      0.030996441631565296     4.4313084386034105E-4    -0.030227732400507714    -0.0580726128678952      -0.08035878708628096     -0.09463310709728366     -0.0996078850342606      -0.09470856442551802     -0.08056608679303451     -0.05866996444156155     -0.031151050630625125    -4.40287744249622E-4     0.030258007677448618     0.05803890726492577      0.08022416248030821      0.0946072154526414       0.09963098755173366      0.09494582404981879      0.0809604397487612       0.059017397899604286     0.03135769834994065      5.782595811777085E-4
