% Model:              burgers1d.mph
% Version:            COMSOL 6.0.0.354
% Date:               Mar 28 2023, 18:42
% Dimension:          1
% Nodes:              101
% Expressions:        11
% Description:        因变量 u
% X                       u (1) @ t=0              u (1) @ t=0.1            u (1) @ t=0.2            u (1) @ t=0.3            u (1) @ t=0.4            u (1) @ t=0.5            u (1) @ t=0.6            u (1) @ t=0.7            u (1) @ t=0.8            u (1) @ t=0.9            u (1) @ t=1
-1                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
-0.98                     0.0627901217127178       0.047599793441306694     0.03811340019532789      0.03185378162721739      0.02742287582936439      0.02409085042940908      0.02151140989315492      0.019516720801237994     0.017893084060388375     0.016506172169275562     0.015308190466115005
-0.9600000000000002       0.12533244415818526      0.09512082896571573      0.0762015216956417       0.06369713904775477      0.054840379422043554     0.04817856399249276      0.04302082593558686      0.039032057649334255     0.03578515556596211      0.03301159100194325      0.03061581268027783
-0.9400000000000004       0.18738014594621133      0.14248396345997458      0.11423879373805183      0.09551954175903099      0.08224709733558896      0.0722599852815389       0.06452624472654166      0.0585446208899342       0.05367519825621787      0.049515500709886646     0.04592229674784782
-0.9200000000000004       0.24868835758264138      0.18960928311614053      0.15219905937409692      0.12731024494572984      0.10963753301592571      0.09633192155147798      0.08602564366027392      0.07805300941141104      0.0715621884272334       0.06601714058296015      0.06122706947743846
-0.9000000000000004       0.3090151277873949       0.23641571736264602      0.19005527724030394      0.1590581780135219       0.13700606348623703      0.12039112341252983      0.10751697106038854      0.09755580477867881      0.08944509112961292      0.08251574248031014      0.07652955270404797
-0.8800000000000006       0.36812237829904876      0.28282065202288076      0.22777921712888843      0.19075182792869355      0.16434689391499785      0.1444342647501401       0.1289981359960023       0.11705156520071114      0.10732285626933405      0.09901052826411696      0.09182916157778159
-0.8600000000000008       0.4257768433988323       0.3287395415996224       0.2653411472263422       0.22237911559229875      0.19165400933100862      0.16845792160382989      0.1504669976695998       0.13653881927423678      0.1251944145779664       0.11550070715591583      0.10712530280633487
-0.8400000000000007       0.48175099044715164      0.37408552071769524      0.3027095108200651       0.2539272634368117       0.21892112272949815      0.19245854972670784      0.17192135426279856      0.15601605944420646      0.14305867341769596      0.13198547299507865      0.12241737283908773
-0.8200000000000007       0.535823917800589        0.4187690149259184       0.3398505901752609       0.2853826523738517       0.2461416187806767       0.2164324605342363       0.19335893112143304      0.17548173511917964      0.16091451238524407      0.14846400137829538      0.1377047559802494
-0.8000000000000009       0.5877822265665158       0.4626973512642445       0.3767281551481507       0.31673066613657486      0.2733084923081912       0.24037579513379956      0.2147773681552503       0.1949342453766829       0.17876077867707543      0.1649354466579595       0.1529868224179812
-0.7800000000000011       0.6374208627555764       0.5057743692456177       0.41330309391864956      0.34795552094057713      0.30041428064661063      0.2642844961048787       0.23617420631986089      0.21437193118975298      0.19659628217619768      0.18139893877621685      0.16826292615579636
-0.7600000000000011       0.6845439265090104       0.5479000331886542       0.44953302298734726      0.37904007822045926      0.32745098891012114      0.28815427667216376      0.2575468730391439       0.23379306710117198      0.2144197902183106       0.19785357991004865      0.1835324028317841
-0.7400000000000011       0.7289654452075924       0.5889700471729081       0.48537187327935205      0.4099656379697455       0.35441000710350806      0.3119805868793798       0.2788926664147207       0.2531958522661857       0.23223002199199005      0.21429844090110112      0.19879456741030782
-0.7200000000000013       0.7705101074113736       0.6288754742818412       0.5207694488231256       0.4407117098993112       0.38128201787401633      0.33575857632824674      0.30020873805496606      0.2725784007775723       0.2500256425238992       0.23073255744198656      0.2140487117297661
-0.7000000000000015       0.8090139547338393       0.6675023622613715       0.5556709540180014       0.47125575920805923      0.4080568935294546       0.3594830529926221       0.3214920743387977       0.29193873117857144      0.26780525619559425      0.24715492598842434      0.2292941018887493
-0.6800000000000015       0.8443250289199736       0.7047313782692476       0.590016484961849        0.5015729231967062       0.4347235807219426       0.3831484375496885       0.34273947590853165      0.31127475505911656      0.2855673997332016       0.26356449936378973      0.24452997545145275
-0.6600000000000015       0.876303971574367        0.7404374560418461       0.6237404796717865       0.5316356942101516       0.4612699709025029       0.40674871258442563      0.36394753516063916      0.3305842646186858       0.30331053460493046      0.2799601820193293       0.2597555384514767
-0.6400000000000017       0.904824574172221        0.7744894595840263       0.6567711212853874       0.5614135634144041       0.48768275426940333      0.43027736591592824      0.3851126114722925       0.34986491906448736      0.32103303875383715      0.2963408249093758       0.27496996217111425
-0.6200000000000019       0.9297742761821886       0.8067498684230554       0.68902968746284         0.5908726186354405       0.5139472544371536       0.45372732715844616      0.40623080386397686      0.3691142296960962       0.33873319758424203      0.31270521993624645      0.2901723796708462
-0.6000000000000019       0.9510546093346159       0.8370744905928803       0.7204298382006863       0.6199750878277839       0.540047240410271        0.47709089645863334      0.4272979207526817       0.3883295435064546       0.3564091941094278       0.3290520939140039       0.3053618820409653
-0.5800000000000018       0.9685815862811907       0.8653122108688688       0.7508768330834646       0.6486788175964859       0.565964711613396        0.5003596641334384       0.4483094463944756       0.4075080251035499       0.3740590981553513       0.3453801019937294       0.3205375143439756
-0.560000000000002        0.9822860321113362       0.8913047833994835       0.7802666675948012       0.6769366734365249       0.5916796506508848       0.523524419657292        0.4692605035473765       0.4266466367261668       0.3916808544996589       0.3616878204852045       0.33569827121255663
-0.5400000000000023       0.9921138574161111       0.9148866798297712       0.8084851164191317       0.7046958448120543       0.6171697370707548       0.5465750480956217       0.4901458118026023       0.4457421160896964       0.409272269806762        0.3779737390006842       0.35084309206334563
-0.5200000000000022       0.9980262718209824       0.9358850063382929       0.8354066696000467       0.7318970336630358       0.64241001359171         0.5695004116315907       0.5109596409311602       0.4647909517526648       0.42683099819747017      0.3942362518354731       0.3659708558814532
-0.5000000000000022       0.9999999371436991       0.9541195057797495       0.8608933448627896       0.7584734991292147       0.6673724938865916       0.5922882132540357       0.531695758469172        0.4837893556396389       0.4443545252648888       0.41047364848694134      0.38108037552432816
