% Model:              heat_case2.mph
% Version:            COMSOL 6.0.0.354
% Date:               Mar 29 2023, 20:04
% Dimension:          2
% Nodes:              3000
% Expressions:        26
% Description:        因变量 u
% Length unit:        m
% X                       Y                        u (K) @ t=0              u (K) @ t=0.2            u (K) @ t=0.4            u (K) @ t=0.6            u (K) @ t=0.8            u (K) @ t=1              u (K) @ t=1.2            u (K) @ t=1.4            u (K) @ t=1.6            u (K) @ t=1.8            u (K) @ t=2              u (K) @ t=2.2            u (K) @ t=2.4            u (K) @ t=2.6            u (K) @ t=2.8            u (K) @ t=3              u (K) @ t=3.2            u (K) @ t=3.4            u (K) @ t=3.6            u (K) @ t=3.8            u (K) @ t=4              u (K) @ t=4.2            u (K) @ t=4.4            u (K) @ t=4.6            u (K) @ t=4.8            u (K) @ t=5
0.0016666666666666668     0.05                     0.016508714694235056     0.013558056146383713     0.011128678099320404     0.009081296655123644     0.007390121254961274     0.005992452962199901     0.004855988690586647     0.003946425525719162     0.0031896497158384936    0.0025859456982183855    0.002102347686483095     0.0017032268583922084    0.0013823836527564854    0.0011231557571307646    9.118425405976211E-4     7.424801803999421E-4     6.049876470819085E-4     4.931344601223624E-4     4.022286346558584E-4     3.287708962614375E-4     2.6913728433984596E-4    2.2076827985251463E-4    1.8121738013324217E-4    1.4869954956420956E-4    1.219674790055633E-4     9.984497370282338E-5
0.005                     0.05                     0.04824880090865857      0.03974710587096947      0.032750083402015545     0.02681268918042683      0.021876009931223715     0.01777859408041964      0.014430744244751914     0.011738337538999598     0.009495022108825581     0.007700487914963244     0.006260977485755191     0.0050726580722789995    0.004117018608113266     0.0033448071356286385    0.0027153975713887168    0.002210972603799095     0.001801506959970432     0.0014684224348915922    0.0011977301728680128    9.790004262365756E-4     8.01435102400599E-4      6.574110469634389E-4     5.396417432158946E-4     4.428123637832145E-4     3.6320979728008795E-4    2.973326649393941E-4
0.008333333333333333      0.05                     0.07826005176006406      0.06460518264537546      0.05337641735217034      0.04380091017458348      0.03580181515541988      0.029142283105897022     0.023682302611607198     0.019276305602960408     0.01560150595301555      0.012656093003328922     0.010291031164297294     0.008338309519643898     0.006767462146920466     0.005497984904270868     0.004463324465722434     0.003634139091159027     0.0029610845077228565    0.0024136023203427098    0.001968683910776158     0.001609177500980999     0.0013173288655067747    0.0010806073229232668    8.870355606122667E-4     7.278788317335481E-4     5.970353557127794E-4     4.887513117619259E-4
0.011666666666666667      0.05                     0.10469928703123607      0.08614980113232179      0.07091630803404789      0.05801464760636617      0.04730611682118811      0.03842741834971543      0.031181478939195005     0.025360733579676314     0.02051209310465075      0.016635579211300305     0.013526569176207714     0.010959935677555495     0.008895795580440086     0.007227710642294755     0.0058679453660159765    0.004778082488844434     0.00389331590835625      0.0031735456489914906    0.0025885705713424956    0.0021158681951425505    0.001732116497820039     0.001420846721656046     0.0011663172153364401    9.57043640359913E-4      7.850014115665501E-4     6.426234112528054E-4
0.015                     0.05                     0.12646995819348655      0.1043198831875535       0.08608768139166442      0.07057246274876186      0.05763756388304534      0.04688311982865382      0.038078987599405444     0.03098495249381891      0.025070954981943387     0.02033495923516347      0.016533913714252318     0.013395909942577573     0.010871999666464736     0.008832474164407793     0.007170208121116998     0.005838081912443872     0.004756788182067133     0.0038772346605779303    0.0031624592288646367    0.0025849078014758683    0.0021160571262346566    0.001735774516531313     0.0014248164074374442    0.0011691484292353747    9.589666120749841E-4     7.850260972439253E-4
0.018333333333333333      0.05                     0.142963539558163        0.11772041107792537      0.09700717512389392      0.07943153536943329      0.06481667678851147      0.05268427916662744      0.04276932519685506      0.03479359451258581      0.02814719360639655      0.022829209606062006     0.01856250617511029      0.015040003883322084     0.012206918530083533     0.009917444700806782     0.008051282161556825     0.0065556383280316755    0.005341536956172545     0.004353906898637892     0.0035512756412312448    0.002902719734789945     0.0023762225596818012    0.0019491804568446524    0.001599987966431783     0.001312885630573311     0.0010768632198408202    8.815383376806575E-4
0.021666666666666667      0.05                     0.15297347055803534      0.12591422015877607      0.10374220963918515      0.08493412693999042      0.06929865212821133      0.05632142098714757      0.0457182960538678       0.0371908461131396       0.03008522941796906      0.02440060231050633      0.019840105518032922     0.016075131421160085     0.013047114244371428     0.010600138135068453     0.008605582312744692     0.007007025638227534     0.005709369402481861     0.0046537585407683485    0.0037958714134247056    0.0031026598755380373    0.002539906858241123     0.002083454422606054     0.0017102113859896256    0.0014033339995248792    0.0011510541481117534    9.422747212437923E-4
0.025                     0.05                     0.15641407644154115      0.12895042289473777      0.10638711546864768      0.08719590546662498      0.07120341666655995      0.05791036691406371      0.04703127968489622      0.038267889166051366     0.030962764286991656     0.025113639511146202     0.02041951912576398      0.01654421994909869      0.013427316780310339     0.010908578758247515     0.008855697469811286     0.00721050206832645      0.005875064078769129     0.004788766390412205     0.0039059679754014694    0.0031926433784598422    0.0026135690192329885    0.0021438815352388253    0.001759815545272116     0.001444038116528624     0.0011844405715188766    9.696047355394747E-4
0.028333333333333332      0.05                     0.1530206749413763       0.12601951326845218      0.10381253340848841      0.08498000065424996      0.06932906073205701      0.056341629294856095     0.045732506581980206     0.037201994499741556     0.0300940647957102       0.024408074769670794     0.019846535050003895     0.0160805950972514       0.013051721776572227     0.010603979368651551     0.008608746848350828     0.007009615121892321     0.0057114773738767225    0.004655468910615314     0.0037972572063103903    0.0031037838197265992    0.0025408197694411568    0.0020841976724698657    0.0017108173774833342    0.0014038282723191516    0.0011514573716213574    9.426029874811068E-4
0.03166666666666667       0.05                     0.14292271119545832      0.11783743912267367      0.09724271816933241      0.07971558842348046      0.06510273313228111      0.052953319476657976     0.043007369864443486     0.03499360720415961      0.0283132350701389       0.022963895083626062     0.0186709249969782       0.01512698236346315      0.012276733121455191     0.009973597514124806     0.00809652468960495      0.00659228146485732      0.00537128713861674      0.004378099694324778     0.0035709794811955723    0.002918812271925196     0.0023893897806753746    0.001959978421679987     0.0016088485233770144    0.0013201524586819713    0.0010828194968914926    8.864102425283592E-4
0.035                     0.05                     0.12650855365754674      0.10424967966376972      0.08591068252931117      0.07034636972242654      0.05740289387109377      0.04665802518200581      0.03787698018131542      0.030813426718943823     0.024927258965871307     0.020217628873690757     0.01643905593963348      0.01331953696788384      0.010810549287112711     0.008782970360593991     0.0071302706362399056    0.005805702391085201     0.004730472563985426     0.003855811098250689     0.003144989627952689     0.0025706215705044175    0.002104351959714065     0.0017261620975504357    0.001416917365792656     0.001162660609384428     9.536408114938715E-4     7.806629982054091E-4
0.03833333333333333       0.05                     0.10477254847206052      0.08636422972521847      0.07119115446971373      0.058307618141638554     0.047588084152272295     0.03868637082402403      0.0314088874402377       0.025552689667593328     0.020672208508555        0.016766534063006537     0.013632775900019413     0.011045641768034705     0.008964859499261383     0.0072833618344307835    0.005912794299312883     0.004814366300246259     0.003922721114576735     0.0031974062046983805    0.0026079593199809232    0.002131667729131648     0.0017450165653164142    0.0014314051132835559    0.0011749657606002406    9.641246852914417E-4     7.907960744686522E-4     6.473551992935236E-4
0.041666666666666664      0.05                     0.07808354135572514      0.0641927582207626       0.05293425003628685      0.0433687544706787       0.03540458680185394      0.028787941846315473     0.02337584210377634      0.019018561740141895     0.015386807355687088     0.012479702058233658     0.010146931698257922     0.008221106336988582     0.006672221430781074     0.005420600256624582     0.004400468734253712     0.0035829291889603455    0.002919316233309008     0.0023795091429740707    0.0019408284370948355    0.0015863660412582322    0.001298618058788678     0.0010652285571680195    8.743872698627959E-4     7.174804169228502E-4     5.88490471254687E-4      4.8174307137067697E-4
0.045                     0.05                     0.04842824004016991      0.03978879185918088      0.03278448935873752      0.0268425857528853       0.021902510552683666     0.017801917874395168     0.01445113115824961      0.011755961318284089     0.009510039280286724     0.007713090331980017     0.006271397588776775     0.00508117771348825      0.00412392449661945      0.003350366036371265     0.002719849989505728     0.0022145370552508546    0.0018043576699250344    0.0014707007196999515    0.0011995510201433567    9.804586387116552E-4     8.026045718762109E-4     6.583510266777828E-4     5.403975576373914E-4     4.434194058298629E-4     3.636967089394476E-4     2.9772175563663343E-4
0.04833333333333333       0.05                     0.01629977345684459      0.013641848003456025     0.011250517653615816     0.009216772092350528     0.0075230806570429866    0.006116166815452743     0.004965542425830451     0.004039364111901817     0.0032675420066256766    0.0026498719195353964    0.002154337097925338     0.0017452944410766525    0.001416358105853256     0.0011505811986286772    9.339780160130738E-4     7.604070699953146E-4     6.195261805067516E-4     5.049362151817292E-4     4.1181958890090656E-4    3.365850115109761E-4     2.755148401767275E-4     2.259850191619677E-4     1.854874046859724E-4     1.52192863703741E-4      1.248237233252092E-4     1.0217519665632262E-4
0.051666666666666666      0.05                     -0.016353276757672473    -0.013523400675760147    -0.011141435038674024    -0.009122466839763282    -0.007444371718975083    -0.0060513169430637705   -0.004912899324687745    -0.003997108147276312    -0.003233863121700727    -0.00262308999392331     -0.002132989871102351    -0.0017283444688251585   -0.0014028714292589701   -0.001139834124871679    -9.254202247252283E-4    -7.535665832352782E-4    -6.140543099747633E-4    -5.005581147011429E-4    -4.083146787711403E-4    -3.337723481740975E-4    -2.732538924275224E-4    -2.2416310350247725E-4   -1.8401837806425315E-4   -1.5100941733688764E-4   -1.2387130743477347E-4   -1.0141123437389194E-4
0.055                     0.05                     -0.048335589590440924    -0.039715466796543655    -0.03274913439020189     -0.026829762291011843    -0.02190168743811619     -0.017807904955490568    -0.014459779666479171    -0.01176452965933638     -0.00951814293809382     -0.007720093167399072    -0.006277291061510429    -0.005086148948550175    -0.004128113126434217    -0.0033539071382925585   -0.0027228586453514622   -0.0022171025595334667   -0.0018065481997028103   -0.0014725710175695866   -0.0012011467583970005   -9.818193206969383E-4    -8.037635051021363E-4    -6.593371512571238E-4    -5.412355216939248E-4    -4.44130413686011E-4     -3.642992152020741E-4    -2.982315550654296E-4
0.058333333333333334      0.05                     -0.0782001742862599      -0.06455419708362803     -0.05323023164516028     -0.043606790604341236    -0.03559520548490042     -0.02894055384157376     -0.02349852132092737     -0.019118116172378113    -0.015467367680026269    -0.012545432536269963    -0.01020086893543811     -0.00826524822161424     -0.006708420822160926    -0.005450306750989368    -0.004424816780405133    -0.0036029265857942857   -0.002935742649544732    -0.002393001787890257    -0.001951914918167637    -0.001595490501096981    -0.0013061368184018095   -0.0010714345002661267   -8.795125456102095E-4    -7.217119432941391E-4    -5.91982947862572E-4     -4.8462073869490446E-4
0.06166666666666667       0.05                     -0.10472283279696276     -0.08640043524654216     -0.0712322095884422      -0.058346553542644564    -0.04762250017618595     -0.03871634776908353     -0.03143450637117839     -0.02557427176633979     -0.020690353363824455    -0.016781750976074875    -0.013645555173683141    -0.011056353430103505    -0.008973837842726411    -0.00729088391061225     -0.005919090853437385    -0.004819643856421075    -0.003927144271551497    -0.0032011122051713243   -0.0026110640613038185   -0.002134270628559167    -0.0017471994592525783   -0.0014332368236767096   -0.0011765025754787684   -9.654132177423167E-4    -7.918757353466031E-4    -6.482585381793438E-4
0.065                     0.05                     -0.1265506912157831      -0.10426687774141613     -0.08595669160097294     -0.07040550480814527     -0.05746448402591997     -0.04671737619781795     -0.037930568453026156    -0.03085930489128655     -0.024966066937251702    -0.020249698315749264    -0.016465341924561193    -0.013341026028114574    -0.010828121533031511    -0.00879736488845356     -0.007142082701504514    -0.005815436676653782    -0.004738509747032075    -0.003862454477648409    -0.003150486217373546    -0.0025751777136948212   -0.0021081326061399355   -0.0017293034509534718   -0.0014195280251791877   -0.0011648289139350864   -9.554406549995694E-4    -7.8215458144934E-4
0.06833333333333333       0.05                     -0.14279863309368188     -0.11760516619594782     -0.096955673286719       -0.0794176718340793      -0.06482230329650243     -0.05270047447988821     -0.04278898744601307     -0.034812069687802503    -0.028163947260002924    -0.022843269743184583    -0.01857399733549775     -0.015049380710080554    -0.01221454782588889     -0.00992366620562089     -0.00805638190692032     -0.0065598452772633      -0.005345020740107545    -0.004356798861358014    -0.0035536804516001727   -0.0029047237300501667   -0.002377894127191981    -0.001950576167528298    -0.0016011530181547944   -0.0013138571105488397   -0.001077672479772307    -8.822112810172793E-4
0.07166666666666667       0.05                     -0.15309891989345628     -0.126091804379432       -0.10395740030239509     -0.0851567037218563      -0.06950885682513101     -0.056511972280167216    -0.04588416907925305     -0.037330138749485334    -0.030200975101314496    -0.0244951581498795      -0.019916862396131517    -0.01613718245461818     -0.013097254864125605    -0.01064067866643534     -0.008638371947678       -0.007033648461373796    -0.005731020267982051    -0.004671385743156424    -0.003810240734929344    -0.0031144038072028427   -0.00254952223971735     -0.002091344616661767    -0.001716690444107684    -0.0014086519903259021   -0.0011554169883052456   -9.458467301754714E-4
0.075                     0.05                     -0.15633958951511984     -0.12878683751340422     -0.10617430280236173     -0.08696939883306792     -0.070986449790479       -0.057711823519430126    -0.04685745677907166     -0.0381214969532823      -0.030840795043902032    -0.025013846947559083    -0.02033841903251763     -0.01647857156601791     -0.013374196535098831    -0.010865562649458824    -0.008820841684840076    -0.007182144164500594    -0.005851951755947289    -0.004769906537314274    -0.00389055852746255     -0.00318002130265848     -0.0026032125398272694   -0.0021353660970875174   -0.001752809546278517    -0.0014382766654100173   -0.0011797049883991335   -9.657199154230966E-4
