% Model:              ns_case1_1x1.mph
% Version:            COMSOL 6.0.0.354
% Date:               May 26 2023, 20:57
% Dimension:          2
% Nodes:              10201
% Expressions:        3
% Description:        速度场x 分量, 速度场y 分量, 压力
% Length unit:        null
% x                       y                        u @ Re=100               v @ Re=100               p @ Re=100
0                         0                        0                        0                        0
0                         0.004006647973465352     0                        0                        -3.001328307066959E-6
0                         0.008147082111446234     0                        0                        -9.493497795836802E-6
0                         0.012425769673840273     0                        0                        -1.3830195235875746E-5
0                         0.016847327087023307     0                        0                        -1.2043111408789007E-5
0                         0.02141652492467401      0                        0                        -2.3442521531056497E-6
0                         0.026138293054913518     0                        0                        1.622211145392773E-5
0                         0.03101772595931337      0                        0                        4.415213025210425E-5
0                         0.03606008822951071      0                        0                        8.16616243309912E-5
0                         0.04127082024736123      0                        0                        1.2878006944909938E-4
0                         0.046655544054758365     0                        0                        1.8540128623866487E-4
0                         0.05222006941945181      0                        0                        2.5131157450710855E-4
0                         0.05797040010341013      0                        0                        3.2620494327249903E-4
0                         0.06391274034049056      0                        0                        4.096904900957169E-4
0                         0.07005350153040497      0                        0                        5.0129465657274E-4
0                         0.07639930915620428      0                        0                        6.004598803740457E-4
0                         0.08295700993274494      0                        0                        7.065405385460056E-4
0                         0.08973367919385028      0                        0                        8.187965912961855E-4
0                         0.0967366285261368       0                        0                        9.363852206603364E-4
0                         0.10397341365774188      0                        0                        0.0010583506012636467
0                         0.11145184261046429      0                        0                        0.001183611756822603
0                         0.11917998412411362      0                        0                        0.0013109484820433889
0                         0.12716617636215694      0                        0                        0.0014389852537674255
0                         0.13541903590805648      0                        0                        0.0015661730215234173
0                         0.14394746706200423      0                        0                        0.0016907687658899433
0                         0.15276067144808472      0                        0                        0.0018108127148723642
0                         0.16186815794223003      0                        0                        0.001924103121881685
0                         0.17127975293168068      0                        0                        0.0020281685462651567
0                         0.18100561091701992      0                        0                        0.002120237609013047
0                         0.19105622546822132      0                        0                        0.0021972063070723386
0                         0.2014424405465303       0                        0                        0.002255602977189952
0                         0.21217546220439468      0                        0                        0.0022915513381663766
0                         0.22326687067606885      0                        0                        0.0023007317715560316
0                         0.2347286328719353       0                        0                        0.0022783421778564917
0                         0.24657311529002482      0                        0                        0.002219058064442333
0                         0.25881309735866564      0                        0                        0.0021169958992563807
0                         0.2714617852246581       0                        0                        0.001965676226025554
0                         0.2845328260018502       0                        0                        0.0017579991543443512
0                         0.2980403224954885       0                        0                        0.0014862157296217187
0                         0.3119988484182304       0                        0                        0.0011419351468829775
0                         0.3264234641142345       0                        0                        7.161062534383107E-4
0                         0.3413297328082957       0                        0                        1.9909710082140198E-4
0                         0.356733737397555        0                        0                        -4.1932898542809964E-4
0                         0.3726520978039025       0                        0                        -0.0011497754862800826
0                         0.38910198890579534      0                        0                        -0.0020033111370677
0                         0.4061011590688373       0                        0                        -0.002990892337580246
0                         0.4236679492951146       0                        0                        -0.004123735139733596
0                         0.44182131301194744      0                        0                        -0.0054120370783009965
0                         0.4605808365214086       0                        0                        -0.006866075460813216
0                         0.4799667601326732       0                        0                        -0.008493622440191119
0                         0.5000000000000001       0                        0                        -0.010302681460706115
0                         0.5200332398673271       0                        0                        -0.012232084905958314
0                         0.5394191634785914       0                        0                        -0.014199839053362915
0                         0.5581786869880525       0                        0                        -0.016189539975092104
0                         0.5763320507048854       0                        0                        -0.018183318596672618
0                         0.5938988409311627       0                        0                        -0.02016787419940845
0                         0.6108980110942047       0                        0                        -0.022130567004796677
0                         0.6273479021960976       0                        0                        -0.024062139353981053
0                         0.6432662626024449       0                        0                        -0.025954915778025903
0                         0.6586702671917043       0                        0                        -0.027803861149182606
0                         0.6735765358857654       0                        0                        -0.029605791449937743
0                         0.6880011515817694       0                        0                        -0.031359707411541295
0                         0.7019596775045113       0                        0                        -0.033066445476216406
0                         0.7154671739981499       0                        0                        -0.03472874360204906
0                         0.7285382147753419       0                        0                        -0.03635108153494768
0                         0.7411869026413342       0                        0                        -0.03793966941440333
0                         0.7534268847099752       0                        0                        -0.03950237215867469
0                         0.7652713671280647       0                        0                        -0.041048685743257984
0                         0.7767331293239311       0                        0                        -0.04258969803681589
0                         0.7878245377956054       0                        0                        -0.04413806610508896
0                         0.7985575594534697       0                        0                        -0.04570798938974622
0                         0.8089437745317787       0                        0                        -0.04731518677466948
0                         0.8189943890829801       0                        0                        -0.04897687269615472
0                         0.8287202470683194       0                        0                        -0.050711736177150316
0                         0.83813184205777         0                        0                        -0.052539925003560556
0                         0.8472393285519152       0                        0                        -0.05448304090692994
0                         0.8560525329379954       0                        0                        -0.05656415291716001
0                         0.8645809640919436       0                        0                        -0.058807838624385454
0                         0.8728338236378432       0                        0                        -0.06124026536309466
0                         0.8808200158758865       0                        0                        -0.06388932623690834
0                         0.8885481573895359       0                        0                        -0.06678484942094942
0                         0.8960265863422582       0                        0                        -0.0699589039496173
0                         0.9032633714738633       0                        0                        -0.07344623193687509
0                         0.9102663208061497       0                        0                        -0.07728484711728038
